Radius (kpc)	Measured Velocity (km/s)	Radius Uncertainty 	Velocity Uncertainty	Visible Mass Inside Radius (Solar Masses)
0.247557	9.565217	0.05	5	2.64E+06
0.37785017	13.652174	0.05	5	9.50E+06
0.5081433	16.26087	0.05	5	1.86E+07
0.78175896	18.173914	0.05	5	4.56E+07
0.93811077	20.347826	0.05	5	6.58E+07
1.0814332	22.695652	0.05	5	8.87E+07
1.3289902	26.173914	0.05	5	1.32E+08
1.4723127	28	0.05	5	1.57E+08
1.6026058	30.26087	0.05	5	1.81E+08
1.8762215	33.304348	0.05	5	2.56E+08
2.0065145	34.52174	0.05	5	2.85E+08
2.2801304	35.217392	0.05	5	3.41E+08
2.553746	36.608696	0.05	5	3.86E+08
2.8273616	37.739132	0.05	5	4.35E+08
3.1009772	39.130436	0.05	5	4.85E+08
3.3615634	40.173912	0.05	5	5.21E+08
3.6482084	41.304348	0.05	5	5.61E+08
3.9218242	43.130436	0.05	5	6.05E+08
4.1824102	44.434784	0.05	5	6.44E+08
4.442997	45.826088	0.05	5	6.85E+08
4.729642	47.304348	0.05	5	7.27E+08
4.990228	48.52174	0.05	5	7.75E+08
5.1465797	47.913044	0.05	8	7.99E+08
5.2638435	47.47826	0.05	8	8.18E+08
5.394137	48.086956	0.05	8	8.40E+08
5.680782	47.826088	0.05	8	8.65E+08
5.8241043	48.434784	0.05	8	8.70E+08
5.954397	48.347828	0.05	8	8.79E+08
6.214984	47.391304	0.05	8	8.95E+08
6.501629	46.608696	0.05	8	9.23E+08
6.775244	47.826088	0.05	8	9.17E+08
6.9055376	47.913044	0.05	10	9.16E+08
7.04886	47.130436	0.05	10	9.33E+08
7.3094463	48.086956	0.05	10	9.51E+08
7.452769	48.52174	0.05	10	9.43E+08
7.5830617	50.086956	0.05	10	9.35E+08
7.726384	51.391304	0.05	10	9.34E+08
7.830619	50.434784	0.05	10	9.33E+08
8	51.826088	0.05	10	9.28E+08
8.130293	52.695652	0.05	10	9.21E+08
8.260587	53.304348	0.05	10	9.23E+08
